,광역시명,시군구명,시군구코드,기준년도,벚나무수량,은행나무수량,느티나무수량,양버즘나무수량,단풍나무수량,메타세쿼이아수량,회화나무수량,튤립나무수량,소나무수량,잣나무수량,낙엽송수량,편백나무수량,상수리나무수량,신갈나무수량,참나무수량,기타수량,벚나무온실가스흡수량,은행나무온실가스흡수량,느티나무온실가스흡수량,양버즘나무온실가스흡수량,단풍나무온실가스흡수량,메타세쿼이아온실가스흡수량,회화나무온실가스흡수량,튤립나무온실가스흡수량,소나무온실가스흡수량,잣나무온실가스흡수량,낙엽송온실가스흡수량,편백나무온실가스흡수량,상수리나무온실가스흡수량,신갈나무온실가스흡수량,참나무온실가스흡수량,기타온실가스흡수량,합계온실가스흡수량
76,서울특별시,중구,11140,2018,289,3646,461,165,0,0,185,7,2134,0,0,0,0,470,0,821,7.7741,129.0684,15.5357,9.174,0.0,0.0,6.0125,0.7133,9.606556667,0.0,0.0,0.0,0.0,3.6754,0.0,34.9746,216.5345567
77,서울특별시,용산구,11170,2018,255,4469,361,1434,80,0,32,13,51,0,16,0,0,198,0,912,6.8595,158.2026,12.1657,79.7304,1.64,0.0,1.04,1.3247,0.229585,0.0,0.113066667,0.0,0.0,1.54836,0.0,38.8512,301.7051117
78,서울특별시,성동구,11200,2018,580,1133,1990,2449,29,49,356,0,53,0,1,0,0,590,0,655,15.602,40.1082,67.063,136.1644,0.5945,3.4104,11.57,0.0,0.238588333,0.0,0.007066667,0.0,0.0,4.6138,0.0,27.903,307.274955
79,서울특별시,광진구,11215,2018,943,1253,1020,2336,0,0,153,62,20,0,101,0,0,734,0,571,25.3667,44.3562,34.374,129.8816,0.0,0.0,4.9725,6.3178,0.090033333,0.0,0.713733333,0.0,0.0,5.73988,0.0,24.3246,276.1370467
80,서울특별시,동대문구,11230,2018,744,3741,846,3363,232,60,146,37,0,0,19,0,0,1169,0,518,20.0136,132.4314,28.5102,186.9828,4.756,4.176,4.745,3.7703,0.0,0.0,0.134266667,0.0,0.0,9.14158,0.0,22.0668,416.7279467
81,서울특별시,중랑구,11260,2018,345,2924,345,2804,472,219,1,0,5,0,82,0,0,173,0,1955,9.2805,103.5096,11.6265,155.9024,9.676,15.2424,0.0325,0.0,0.022508333,0.0,0.579466667,0.0,0.0,1.35286,0.0,83.283,390.507735
82,서울특별시,성북구,11290,2018,1645,2739,969,1400,123,65,38,4,97,0,0,0,0,698,16,970,44.2505,96.9606,32.6553,77.84,2.5215,4.524,1.235,0.4076,0.436661667,0.0,0.0,0.0,0.0,5.45836,0.223173333,41.322,307.834695
83,서울특별시,강북구,11305,2018,492,3492,275,938,318,0,116,5,976,94,0,0,0,529,0,422,13.2348,123.6168,9.2675,52.1528,6.519,0.0,3.77,0.5095,4.393626667,0.985746667,0.0,0.0,0.0,4.13678,0.0,17.9772,236.5637533
84,서울특별시,도봉구,11320,2018,2143,5003,781,427,6,61,32,15,15,0,0,0,0,47,0,1199,57.6467,177.1062,26.3197,23.7412,0.123,4.2456,1.04,1.5285,0.067525,0.0,0.0,0.0,0.0,0.36754,0.0,51.0774,343.263365
85,서울특별시,노원구,11350,2018,1602,6507,1166,3361,0,285,41,0,32,0,0,0,0,132,0,1312,43.0938,230.3478,39.2942,186.8716,0.0,19.836,1.3325,0.0,0.144053333,0.0,0.0,0.0,0.0,1.03224,0.0,55.8912,577.8433933
