,지점명,지점번호,월,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,위도,경도,주소,하루평균
778,사직로(사직터널),A-02,11,643.0,514.0,395.0,297.0,315.0,589.0,1176.0,1875.0,2094.0,1969.0,1897.0,1934.0,1824.0,1889.0,1918.0,1932.0,1972.0,2037.0,1914.0,1646.0,1459.0,1390.0,1208.0,889.0,37.572298,126.962853,서울시 종로구 행촌동 1-186,1407.3333333333333
790,사평대로(고속터미널역),D-36,11,789.0,580.0,451.0,334.0,368.0,858.0,1578.0,2115.0,2147.0,2240.0,2235.0,2245.0,2230.0,2290.0,2296.0,2298.0,2243.0,2220.0,2274.0,2216.0,1992.0,1957.0,1685.0,1155.0,37.503742,127.007779,서울시 서초구 반포동 60-2,1699.8333333333333
802,새문안로(서울역사박물관),A-14,11,364.0,295.0,261.0,214.0,215.0,401.0,755.0,1119.0,1265.0,1230.0,1251.0,1301.0,1285.0,1366.0,1360.0,1361.0,1321.0,1358.0,1347.0,1161.0,1007.0,926.0,790.0,538.0,37.569776,126.971354,서울시 종로구 신문로2가 1-2,937.125
814,서강대교,C-06,11,309.0,228.0,168.0,147.0,174.0,296.0,623.0,1166.0,1335.0,1223.0,1140.0,1136.0,1047.0,1154.0,1167.0,1211.0,1330.0,1489.0,1501.0,1050.0,803.0,736.0,670.0,434.0,37.537537,126.925341,서울시 영등포구 여의도동 83-1,855.7083333333334
826,서부간선도로,F-09,11,1928.0,1421.0,1054.0,935.0,1348.0,2207.0,2436.0,2208.0,2063.0,2245.0,2445.0,2387.0,2384.0,2313.0,2290.0,2263.0,2201.0,1992.0,1954.0,2265.0,2612.0,2629.0,2564.0,2336.0,37.520965,126.881826,서울시 영등포구 문래동6가 52,2103.3333333333335
838,서빙고로(한남역),D-04,11,863.0,628.0,484.0,408.0,414.0,679.0,1278.0,1946.0,2358.0,2374.0,2411.0,2446.0,2438.0,2466.0,2519.0,2603.0,2596.0,2659.0,2537.0,2208.0,1990.0,1904.0,1647.0,1172.0,37.527197,127.004697,서울시 용산구 한남동 542-10,1792.8333333333333
850,서소문로(시청역),A-16,11,396.0,321.0,272.0,203.0,215.0,412.0,803.0,1025.0,1123.0,1110.0,1123.0,1148.0,1112.0,1157.0,1163.0,1198.0,1240.0,1292.0,1193.0,1100.0,942.0,914.0,805.0,593.0,37.562819,126.972716,서울시 중구 서소문동 72-2,869.1666666666666
862,서오릉로(고양시계),B-34,11,322.0,216.0,180.0,164.0,218.0,403.0,796.0,1181.0,1307.0,1183.0,1154.0,1150.0,1183.0,1215.0,1224.0,1260.0,1320.0,1399.0,1363.0,1154.0,864.0,761.0,608.0,403.0,37.617883,126.90626,서울시 은평구 구산동 304-15,876.1666666666666
874,서하남로(서하남IC),B-08,11,530.0,403.0,307.0,315.0,407.0,908.0,1732.0,2768.0,2967.0,2948.0,2888.0,2780.0,2824.0,2997.0,3064.0,3165.0,3280.0,3469.0,3344.0,3130.0,2451.0,1793.0,1305.0,816.0,37.516777,127.146728,경기도 하남시 감북동 442-15,2107.9583333333335
886,성산대교,C-04,11,1752.0,1231.0,912.0,797.0,1185.0,2686.0,3665.0,3854.0,4116.0,4158.0,3964.0,3882.0,3923.0,3902.0,3874.0,4004.0,4050.0,3933.0,4009.0,3761.0,3603.0,3425.0,3161.0,2344.0,37.55268,126.891564,서울시 마포구 망원동 306-53,3174.625
