BRCT_NM,SGNG_NM,SGNG_CD,STNDD_YR,CHRR_QNTT,GKGO_QNTT,ZKVA_QNTT,AMSC_QNTT,MAPLF_TRE_QNTT,MTSQ_QNTT,STJP_QNTT,TLTR_QNTT,PINE_QNTT,KRPN_QNTT,AMSY_QNTT,HNKCP_TRE_QNTT,ACTSM_QNTT,MGLOK_QNTT,OAK_QNTT,ETC_QNTT,CHRR_GRGS_ABQNT,GKGO_GRGS_ABQNT,ZKVA_GRGS_ABQNT,AMSC_GRGS_ABQNT,MAPLF_TRE_GRGS_ABQNT,MTSQ_GRGS_ABQNT,STJP_GRGS_ABQNT,TLTR_GRGS_ABQNT,PINE_GRGS_ABQNT,KRPN_GRGS_ABQNT,CONIFER_GRGS_ABQNT,HNKCP_TRE_GRGS_ABQNT,ACTSM_GRGS_ABQNT,MGLOK_GRGS_ABQNT,OAK_GRGS_ABQNT,ETC_GRGS_ABQNT,SUM_GRGS_ABQNT
강원도,화천군,42790,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,양구군,42800,2018,2039,2426,133,0,792,424,0,0,0,0,0,0,0,784,0,4547,54.8491,85.8804,4.4821,0,16.236,29.5104,0,0,0,0,0,0,0,6.13088,0,193.7022,390.79108
강원도,인제군,42810,2018,8,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0.3408,0,0,0,12.78,0,0,0,0,0,0,0,0,0,0,0,13.1208
강원도,고성군,42820,2018,2355,752,76,948,0,0,0,0,0,0,0,0,0,673,0,1692,63.3495,26.6208,2.5612,52.7088,0,0,0,0,0,0,0,0,0,5.26286,0,72.0792,222.58236
강원도,양양군,42830,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,춘천시,42110,2019,124,90,179,0,285,0,0,0,96,0,0,0,0,338,0,0,6.725,7.4694,1.0447,0,3.2595,0,0,0,0.144053333,0,0,0,0,10.68994,0,10.224,39.55659333
강원도,원주시,42130,2019,7880,8944,1549,243,2066,582,0,0,0,0,0,0,0,2182,266,53,239.0603,337.362,92.9783,15.846,62.074,40.5072,0,3.057,0,0,0,0,0,38.45094,12.44191333,2.2578,844.0354533
강원도,강릉시,42150,2019,5798,4428,1166,416,810,490,0,447,0,0,0,0,0,3401,0,6756,155.9662,156.7512,39.2942,23.1296,16.605,34.104,0,45.5493,0,0,0,0,0,27.6046,0,288.9132,787.9173
강원도,동해시,42170,2019,4630,3995,0,1489,0,1334,688,0,0,0,0,0,0,514,0,1201,126.3493,143.6886,6.9759,82.2324,4.264,93.1944,22.0025,0,0,0,0,0,0,2.51022,0,171.891,653.10832
강원도,태백시,42190,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0189,29.559,0.7414,18.6816,10.1065,0,0,0,0.175565,0,0,0,0,4.67636,0,27.3066,190.265925
강원도,속초시,42210,2019,3187,3476,44,235,300,0,80,0,0,0,181,0,0,1470,0,3205,106.8737,125.2806,1.4828,8.6736,6.314,0,2.6,0,0,0,1.279066667,0,0,11.58924,0,132.9972,397.0902067
강원도,삼척시,42230,2019,4328,2282,277,0,523,260,0,0,517,0,0,0,0,1699,0,3372,116.4232,80.7828,9.3349,0,10.7215,18.096,0,0,2.327361667,0,0,0,0,13.28618,0,143.6472,394.6191417
강원도,홍천군,42720,2019,7493,4048,58,108,733,43,0,0,114,87,0,0,0,1638,0,4593,0,143.6886,1.7861,6.0048,7.0048,2.9928,0,0,0.558206667,0.91234,0,0,0,13.71628,0.139483333,997.5642,1174.36761
강원도,횡성군,42730,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5845,0,3.7407,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3252
강원도,영월군,42750,2019,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495183333,0,0,0,0,0,0,43.6224,44.11758333
강원도,평창군,42760,2019,3255,1741,49,0,128,57,0,0,0,0,0,0,0,0,0,655,87.5595,61.6314,1.6513,0,2.624,3.9672,0,0,0,0,0,0,0,0,0,27.903,185.3364
강원도,정선군,42770,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72822,0,0,1.72822
강원도,철원군,42780,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.98408,0,0,15.98408
