,구,월,시,환경지수
6641,중구,1,17,38.093342967349685
6642,중구,1,18,38.417872119069
6643,중구,1,19,39.40069489288474
6644,중구,1,20,39.81594585473272
6645,중구,1,21,38.86032123721832
6646,중구,1,22,40.323152088395695
6647,중구,1,23,39.97653120982799
6648,중구,2,0,46.63751055011085
6649,중구,2,1,45.875468331071225
6650,중구,2,2,46.69804956483581
6651,중구,2,3,44.78081743228398
6652,중구,2,4,45.11850167934951
6653,중구,2,5,45.26812378136833
6654,중구,2,6,45.098389172629915
6655,중구,2,7,46.67122600458635
6656,중구,2,8,47.104348837622915
6657,중구,2,9,46.49091954018483
6658,중구,2,10,49.82583834353545
6659,중구,2,11,48.83468409430004
6660,중구,2,12,47.24071064904713
6661,중구,2,13,45.318153642829515
6662,중구,2,14,46.534193034926695
6663,중구,2,15,44.45290623978006
6664,중구,2,16,45.44263572278047
6665,중구,2,17,45.145385114688935
6666,중구,2,18,47.48232423056713
6667,중구,2,19,47.6874695741512
6668,중구,2,20,47.52901398805496
6669,중구,2,21,45.88164272138979
6670,중구,2,22,46.68084586035458
6671,중구,2,23,45.75358528565865
6672,중구,3,0,54.04515025449336
6673,중구,3,1,51.10148977586721
6674,중구,3,2,54.126526229778534
6675,중구,3,3,52.82200751011727
6676,중구,3,4,54.788368930677734
6677,중구,3,5,52.4764370588321
6678,중구,3,6,55.461178884618484
6679,중구,3,7,53.96929129740152
6680,중구,3,8,59.05168999992669
6681,중구,3,9,59.64144714786272
6682,중구,3,10,61.6417452104294
6683,중구,3,11,57.72020455062636
6684,중구,3,12,59.608840696372496
6685,중구,3,13,55.98402732653035
6686,중구,3,14,54.339494676068554
6687,중구,3,15,50.405072504052704
6688,중구,3,16,51.55364262845672
6689,중구,3,17,49.63257620299746
6690,중구,3,18,52.32414079117511
6691,중구,3,19,50.85381643893168
6692,중구,3,20,52.04027049413708
6693,중구,3,21,50.647143497070665
6694,중구,3,22,54.05640795516863
6695,중구,3,23,52.30010219084636
6696,중구,4,0,38.68342048672039
6697,중구,4,1,36.85259527164755
6698,중구,4,2,37.352142237568515
6699,중구,4,3,35.71463210416567
6700,중구,4,4,36.80988392700651
6701,중구,4,5,36.55264922377668
6702,중구,4,6,39.11738982041875
6703,중구,4,7,38.957518818817036
6704,중구,4,8,41.857280869521944
6705,중구,4,9,40.31384237526624
6706,중구,4,10,43.82759187424648
6707,중구,4,11,41.5889321642266
6708,중구,4,12,43.59708352865146
6709,중구,4,13,40.931547094427806
6710,중구,4,14,42.717147318801544
6711,중구,4,15,40.536337627960116
6712,중구,4,16,42.42643193375873
6713,중구,4,17,41.34763620456127
6714,중구,4,18,42.494784056170786
6715,중구,4,19,40.31377484153765
6716,중구,4,20,40.84073566129857
6717,중구,4,21,39.36041618064581
6718,중구,4,22,40.11375942150615
6719,중구,4,23,38.5913181794675
6720,중구,5,0,42.58365957655171
6721,중구,5,1,40.0548020560795
6722,중구,5,2,39.26501484557317
6723,중구,5,3,38.449682868892275
