,구,오염물질,월,평균값
774,동대문구,PM2.5,07,0.016755043227665706
775,동대문구,PM2.5,08,0.013572972972972974
776,동대문구,PM2.5,09,0.006758815232722143
777,동대문구,PM2.5,10,0.013563994374120956
778,동대문구,PM2.5,11,0.029281729428172944
779,동대문구,PM2.5,12,0.027288858321870703
780,동대문구,SO2,01,0.0035629228687415427
781,동대문구,SO2,02,0.003493993993993994
782,동대문구,SO2,03,0.0029459459459459463
783,동대문구,SO2,04,0.002759776536312849
784,동대문구,SO2,05,0.002445344129554656
785,동대문구,SO2,06,0.0027374301675977654
786,동대문구,SO2,07,0.002610054347826087
787,동대문구,SO2,08,0.002556756756756757
788,동대문구,SO2,09,0.002510578279266573
789,동대문구,SO2,10,0.0027601683029453016
790,동대문구,SO2,11,0.0030223152022315204
791,동대문구,SO2,12,0.002786197564276049
792,동작구,CO,01,0.544054054054054
793,동작구,CO,02,0.5148425787106446
794,동작구,CO,03,0.5041891891891892
795,동작구,CO,04,0.36662011173184356
796,동작구,CO,05,0.3529810298102981
797,동작구,CO,06,0.37034965034965034
798,동작구,CO,07,0.2941813261163735
799,동작구,CO,08,0.32878581173260574
800,동작구,CO,09,0.3206695778748181
801,동작구,CO,10,0.3936400541271989
802,동작구,CO,11,0.526536312849162
803,동작구,CO,12,0.5777027027027027
804,동작구,NO2,01,0.034066216216216215
805,동작구,NO2,02,0.030350824587706146
806,동작구,NO2,03,0.03315
807,동작구,NO2,04,0.022569832402234636
808,동작구,NO2,05,0.01816260162601626
809,동작구,NO2,06,0.017255944055944054
810,동작구,NO2,07,0.015032476319350474
811,동작구,NO2,08,0.014854223433242508
812,동작구,NO2,09,0.01467976710334789
813,동작구,NO2,10,0.022936227951153323
814,동작구,NO2,11,0.031783519553072626
815,동작구,NO2,12,0.03595135135135135
816,동작구,O3,01,0.01432027027027027
817,동작구,O3,02,0.022644677661169413
818,동작구,O3,03,0.0250027027027027
819,동작구,O3,04,0.03813268156424581
820,동작구,O3,05,0.03750406504065041
821,동작구,O3,06,0.03985314685314686
822,동작구,O3,07,0.03361194029850746
823,동작구,O3,08,0.029407103825136612
824,동작구,O3,09,0.028551673944687044
825,동작구,O3,10,0.02195805142083897
826,동작구,O3,11,0.020347765363128493
827,동작구,O3,12,0.01407027027027027
828,동작구,PM10,01,0.040376210235131396
829,동작구,PM10,02,0.05136802413273002
830,동작구,PM10,03,0.06912178619756428
831,동작구,PM10,04,0.04403098591549296
832,동작구,PM10,05,0.063760989010989
833,동작구,PM10,06,0.035828410689170184
834,동작구,PM10,07,0.027268656716417913
835,동작구,PM10,08,0.024519781718963164
836,동작구,PM10,09,0.016732456140350876
837,동작구,PM10,10,0.029055630936227952
838,동작구,PM10,11,0.04704494382022472
839,동작구,PM10,12,0.04298790322580645
840,동작구,PM2.5,01,0.02353342428376535
841,동작구,PM2.5,02,0.03244108761329305
842,동작구,PM2.5,03,0.03434506089309878
843,동작구,PM2.5,04,0.018606442577030813
844,동작구,PM2.5,05,0.022136856368563686
845,동작구,PM2.5,06,0.020126760563380284
846,동작구,PM2.5,07,0.015128900949796473
847,동작구,PM2.5,08,0.013141689373297004
848,동작구,PM2.5,09,0.00786574074074074
849,동작구,PM2.5,10,0.013289009497964722
850,동작구,PM2.5,11,0.026533707865168538
851,동작구,PM2.5,12,0.02500807537012113
852,동작구,SO2,01,0.0030391891891891894
853,동작구,SO2,02,0.002952023988005997
854,동작구,SO2,03,0.0027351351351351354
855,동작구,SO2,04,0.002717877094972067
856,동작구,SO2,05,0.002570460704607046
857,동작구,SO2,06,0.002695104895104895
858,동작구,SO2,07,0.0027082767978290367
859,동작구,SO2,08,0.002614441416893733
860,동작구,SO2,09,0.0022343522561863176
861,동작구,SO2,10,0.002476319350473613
862,동작구,SO2,11,0.002931564245810056
863,동작구,SO2,12,0.0031310810810810815
864,마포구,CO,01,0.6067476383265857
865,마포구,CO,02,0.5806596701649176
866,마포구,CO,03,0.5774324324324325
867,마포구,CO,04,0.3938461538461539
868,마포구,CO,05,0.3746288798920378
869,마포구,CO,06,0.39186535764375874
